2025-07-09 15:50:34.944175,QL-L1-INT,25.1875
2025-07-09 15:50:34.944175,QL-L1-EXT,23.4375
2025-07-09 15:51:35.175011,QL-R1-EXT,23.8125
2025-07-09 15:51:35.175011,QL-R1-INT,26.9375
2025-07-09 15:51:35.175011,QL-R4-EXT,24.5625
2025-07-09 15:51:35.175011,QL-R4-INT,26.0
2025-07-09 15:51:35.175011,QL-L2-EXT,24.01
2025-07-09 15:51:35.175011,QL-L2-INT,24.82
2025-07-09 15:51:35.175011,QL-L1-INT,25.1875
2025-07-09 15:51:35.175011,QL-L1-EXT,23.375
2025-07-09 15:52:35.339670,QL-R1-EXT,23.8125
2025-07-09 15:52:35.339670,QL-R1-INT,26.9375
2025-07-09 15:52:35.339670,QL-R4-EXT,24.625
2025-07-09 15:52:35.339670,QL-R4-INT,26.0
2025-07-09 15:52:35.339670,QL-L2-EXT,24.11
2025-07-09 15:52:35.339670,QL-L2-INT,24.81
2025-07-09 15:52:35.339670,QL-L1-INT,25.25
2025-07-09 15:52:35.339670,QL-L1-EXT,23.4375
2025-07-09 15:53:35.502156,QL-R1-EXT,23.8125
2025-07-09 15:53:35.502156,QL-R1-INT,26.9375
2025-07-09 15:53:35.502156,QL-R4-EXT,24.5625
2025-07-09 15:53:35.502156,QL-R4-INT,26.0
2025-07-09 15:53:35.502156,QL-L2-EXT,24.0
2025-07-09 15:53:35.502156,QL-L2-INT,24.83
2025-07-09 15:53:35.502156,QL-L1-INT,25.125
2025-07-09 15:53:35.502156,QL-L1-EXT,23.375
2025-07-09 15:54:35.669435,QL-R1-EXT,23.875
2025-07-09 15:54:35.669435,QL-R1-INT,26.9375
2025-07-09 15:54:35.669435,QL-R4-EXT,24.625
2025-07-09 15:54:35.669435,QL-R4-INT,26.0
2025-07-09 15:54:35.669435,QL-L2-EXT,23.99
2025-07-09 15:54:35.669435,QL-L2-INT,24.71
2025-07-09 15:54:35.669435,QL-L1-INT,25.1875
2025-07-09 15:54:35.669435,QL-L1-EXT,23.375
2025-07-09 15:55:35.837754,QL-R1-EXT,23.875
2025-07-09 15:55:35.837754,QL-R1-INT,26.9375
2025-07-09 15:55:35.837754,QL-R4-EXT,24.625
2025-07-09 15:55:35.837754,QL-R4-INT,26.0
2025-07-09 15:55:35.837754,QL-L2-EXT,24.05
2025-07-09 15:55:35.837754,QL-L2-INT,24.75
2025-07-09 15:55:35.837754,QL-L1-INT,25.1875
2025-07-09 15:55:35.837754,QL-L1-EXT,23.4375
2025-07-09 15:56:36.003985,QL-R1-EXT,23.875
2025-07-09 15:56:36.003985,QL-R1-INT,26.9375
2025-07-09 15:56:36.003985,QL-R4-EXT,24.6875
2025-07-09 15:56:36.003985,QL-R4-INT,26.0
2025-07-09 15:56:36.003985,QL-L2-EXT,24.06
2025-07-09 15:56:36.003985,QL-L2-INT,24.78
2025-07-09 15:56:36.003985,QL-L1-INT,25.1875
2025-07-09 15:56:36.003985,QL-L1-EXT,23.375
2025-07-09 15:57:36.170510,QL-R1-EXT,23.8125
2025-07-09 15:57:36.170510,QL-R1-INT,26.9375
2025-07-09 15:57:36.170510,QL-R4-EXT,24.625
2025-07-09 15:57:36.170510,QL-R4-INT,26.0625
2025-07-09 15:57:36.170510,QL-L2-EXT,24.02
2025-07-09 15:57:36.170510,QL-L2-INT,24.89
2025-07-09 15:57:36.170510,QL-L1-INT,25.125
2025-07-09 15:57:36.170510,QL-L1-EXT,23.375
2025-07-09 15:58:36.336003,QL-R1-EXT,23.8125
2025-07-09 15:58:36.336003,QL-R1-INT,26.9375
2025-07-09 15:58:36.336003,QL-R4-EXT,24.625
2025-07-09 15:58:36.336003,QL-R4-INT,26.0625
2025-07-09 15:58:36.336003,QL-L2-EXT,23.94
2025-07-09 15:58:36.336003,QL-L2-INT,24.77
2025-07-09 15:58:36.336003,QL-L1-INT,25.1875
2025-07-09 15:58:36.336003,QL-L1-EXT,23.375
2025-07-09 15:59:36.498622,QL-R1-EXT,23.75
2025-07-09 15:59:36.498622,QL-R1-INT,26.875
2025-07-09 15:59:36.498622,QL-R4-EXT,24.625
2025-07-09 15:59:36.498622,QL-R4-INT,26.0
2025-07-09 15:59:36.498622,QL-L2-EXT,24.0
2025-07-09 15:59:36.498622,QL-L2-INT,24.76
